OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
751,116,49,0.00080947464,0
752,116,50,0.00162220722,0
753,116,115,0.00927279043,0
754,116,722,0.00000000000,1
755,116,1307,0.00242380877,0
756,116,1308,0.00801153520,0
757,117,491,0.00000000000,1
758,117,711,0.00774916016,0
759,117,830,0.00161600377,0
760,117,1307,0.00182288908,0
761,117,1308,0.00801401590,0
762,117,1756,0.00161562250,0
763,117,1796,0.00322801447,0
764,118,120,0.00293539003,0
765,118,121,0.00169437045,0
766,118,738,0.00338039798,0
767,118,1775,0.00425229720,0
768,118,1776,0.00228751896,0
769,118,1777,0.00080095652,0
770,119,143,0.00000000000,1
771,119,145,0.00408953708,0
772,119,153,0.00290635645,0
773,119,1528,0.00049539771,0
774,119,1529,0.00534559857,0
775,119,1774,0.00277742824,0
776,120,118,0.00293539003,0
777,120,121,0.00234292837,0
778,120,562,0.00169016950,0
779,120,1528,0.00331644439,0
780,120,1775,0.00074469912,0
781,120,1950,0.00440070936,0
782,121,118,0.00169437045,0
783,121,120,0.00234292837,0
784,121,562,0.00434883946,0
785,121,738,0.00579476978,0
786,121,956,0.00403691526,0
787,122,78,0.00321045871,0
788,122,194,0.00145054097,0
789,122,838,0.00355328373,0
790,122,839,0.00098597944,0
791,122,1030,0.00243503908,0
792,123,124,0.00350214209,0
793,123,126,0.00303129922,0
794,123,191,0.00000000000,1
795,123,859,0.00517106968,0
796,123,1640,0.00280287715,0
797,124,78,0.00387507382,0
798,124,123,0.00350214209,0
799,124,126,0.00220532895,0
800,124,194,0.00148091968,0
801,124,1640,0.00286285600,0
802,125,143,0.00533674809,0
803,125,1044,0.00302950762,0
804,125,1045,0.00490091232,0
805,125,1056,0.00324420469,0
806,125,1529,0.00341633748,0
807,126,78,0.00421272611,0
808,126,114,0.00199533636,0
809,126,123,0.00303129922,0
810,126,124,0.00220532895,0
811,126,191,0.00222961841,0
812,126,859,0.00000000000,1
813,126,1751,0.00528359274,0
814,127,113,0.00000000000,1
815,127,114,0.00925814857,0
816,127,128,0.00378062297,0
817,127,129,0.00532304756,0
818,127,190,0.00000000000,1
819,127,191,0.00485777672,0
820,128,113,0.00486302116,0
821,128,114,0.00000000000,1
822,128,127,0.00378062297,0
823,128,129,0.00488012321,0
824,128,130,0.00380195759,0
825,129,127,0.00532304756,0
826,129,128,0.00488012321,0
827,129,130,0.00243036539,0
828,129,189,0.00000000000,1
829,129,190,0.00486492502,0
830,129,191,0.00000000000,1
831,129,192,0.00286915771,0
832,130,112,0.00243151055,0
833,130,113,0.00243498571,0
834,130,128,0.00380195759,0
835,130,129,0.00243036539,0
836,130,192,0.00623855695,0
837,131,133,0.00288598841,0
838,131,189,0.00458927323,0
839,131,192,0.00680390306,0
840,131,599,0.00243056491,0
841,131,812,0.00120725448,0
842,132,107,0.00270183674,0
843,132,112,0.00000000000,1
844,132,133,0.00531002594,0
845,132,135,0.00000000000,1
846,132,192,0.00380020627,0
847,132,1599,0.00260771808,0
848,132,1600,0.00380955003,0
849,133,131,0.00288598841,0
